es-tr-en-audio

olarak - como - as, no hint
şapka - sombrero - hat, no hint
satmak - vender - sell, no hint
başarı - éxito - success, no hint
şirket - empresa - company, no hint
çıkarmak - expulsar - eject, no hint
olay - evento - event, no hint
özellikle - especialmente - especially, no hint
anlaşma - contrato - contract, no hint
yüzmek - nadar - to swim, no hint
vadeli - término - term, no hint
karşısında - contra - against, no hint
karısı - su esposa - his wife, no hint
ayakkabı - zapato - shoe, no hint
omuz - hombro - shoulder, no hint
yaymak - irradiar - radiate, no hint
düzenlemek - arreglar - arrange, no hint
kamp - partido - match, no hint
icat - invención - invention, no hint
pamuk - algodón - cotton, no hint
doğmuş - nacido - born, no hint
belirlemek - determinar - determine, no hint
kuart - cuarto de galón - quart, no hint
dokuz - nueve - nine, no hint
kamyon - camión - truck, no hint
gürültü - ruido - noise, no hint
seviyesi - nivel - level, no hint
şans - oportunidad - chance, no hint
toplamak - recoger - collect, no hint
dükkan - tienda - store, no hint
streç - tramo - stretch, no hint
atmak - tirar a la basura - throw away, no hint
parlaklık - brillo - brightness, no hint
mülkiyet - propiedad - ownership, no hint
sütun - columna - column, no hint
molekülü - molécula - molecule, no hint
seçin - seleccione - select, no hint
yanlış - falso - false, no hint
gri - gris - gray, no hint
tekrar - otra vez - again, no hint
gerektirir - requiere - requires, no hint
geniş - grande - large, no hint
hazırlamak - preparar - prepare, no hint
tuz - sal - salt, no hint
burun - nariz - nose, no hint
çoğul - plural - plural, no hint
öfke - enojo - anger, no hint
iddia - alegación - allegation, no hint
kıta - continente - continent, no hint
